ID,Fecha de Nacimiento,Edad,Estado Civil,Género,Numero de Hijos,Departamento,Posición,Pos-género,Salario Base Anual,C. desplazamiento,Horas Extras,€/h xtra,C. Objetivos,Salario total anual,Fecha de Contratación,Antigüedad,Antigüedad Binner,H.FormaciónXantigüedad,Rotaciones,Horas absentismo último año,Nivel de estudios,Teletrabajo,Performace,Engagement,Int.teletrabajo,Int.Nivel de estudios,Int. Posición-Gen,Int.Departamento,Int.Género,Int.Estado Civil
2,1968-03-07,58,Soltero,Hombre,0,Compras,Manager,Operario,25000,1232,25,250,2929,30881.55,2011-10-25,10,>8,28,0,1,Máster,NO,32.5,0.9,1,3,11,6,1,0
4,2000-09-13,48,Casado,Hombre,1,Dirección,Director,Director,50000,0,34,0,0,52500,2012-02-08,9,>8,27.5,4,0,Máster,NO,17.7,0.1,1,3,1,0,1,1
4,2001-11-11,48,Casado,Hombre,1,Dirección,Director,Director,50000,0,34,0,0,52500,2013-04-07,8,>8,27.7,4,0,Máster,SI,66.5,2.6,0,3,1,0,1,1
5,1975-10-13,52,Casado,Hombre,0,Comercial,Manager,Operario,25000,1291,36,358,678,28692.3,2013-06-10,8,>8,20,1,5,Máster,NO,71.6,1.7,1,3,11,7,1,1
6,1979-07-30,50,Divorciado,Hombre,1,Producción,Operario,Técnico Nivel B,31000,1470,27,399,0,34512.45,2015-07-25,6,4-6,31.5,1,4,Máster,NO,56.4,1.5,1,3,6,9,1,2
7,1961-06-07,63,Soltero,Hombre,2,Administración y Finanzas,Administrativo,Técnico de Soporte,28000,1311,29,293,0,31084.2,2010-11-01,10,>8,39.9,1,4,Grado,NO,17.2,2.1,1,2,10,5,1,0
8,2005-11-01,46,Soltero,Hombre,1,Dirección,Director,Director,50000,0,34,0,0,52500,2016-10-04,5,4-6,22.3,4,0,Grado,SI,41.3,0.1,0,2,1,0,1,0
8,1997-09-30,46,Soltero,Hombre,1,Dirección,Director,Director,50000,0,34,0,0,52500,2008-09-02,13,>8,25.3,3,0,Grado,SI,57.8,1.3,0,2,1,0,1,0
10,2000-08-10,51,Casado,Hombre,3,Dirección,Director,Director,50000,0,59,0,0,52500,2008-10-21,13,>8,21.6,3,0,Máster,NO,17.1,2.1,1,3,1,0,1,1
10,1999-12-25,51,Casado,Hombre,3,Dirección,Director,Director,50000,0,59,0,0,52500,2008-03-06,13,>8,39.2,4,0,FP Superior,NO,29.6,0.1,1,1,1,0,1,1
11,1980-08-12,50,Casado,Hombre,2,Producción,Operario,Técnico Nivel B,31000,1438,32,483,0,34568.1,2016-08-02,5,4-6,21.6,2,1,Grado,NO,24.8,3.2,1,2,6,9,1,1
